,platform,hashtags,message,email,url,name,date,comment_count,like_count,address1,city,address3,phone,book_title,call_number,userid
0,facebook,#canada,Another Wednesday. Another abusive plane,naokoy@aol.com,www.book.com,Naoko Yong,2023-01-18,75,216,37 N. Ju Bay,Winnepeg,YT,(782)696-2189,The Picture Day: A Compendium,V2994.M1352 1916,A1228-6526988
1,instagram,#badidea,Fire in Boston. What a brilliant idea!,thanasisa94@outlook.com,www.corruptpaper.com,Thanasis Anwar,2024-11-01,45,11714,71 St. Ulla Lane,Toronto,SK,(204)884-2811,The Form Century: An Anthology,V6015.F428 1944,J1568-4684343
2,youtube,#immigration,Too close for comfort @parking_lotcriminal,buthaynaf@hotmail.com,www.respectedpicture.net/accident/inflation.html,Buthayna Fahandizh,2024-10-13,50,129,19 Church Street,Toronto,BC,(867)317-5028,The Suitcase Decade: An Anthology,BN2154.A2622 1914,Y1513-5446764
3,facebook,#immigration,Too close for comfort @masao33,jerry.koepf@gmail.com,www.beckymihashi.com/brilliantcar.html,Jerry Koepf,2023-04-07,181,4460,405 Ridge Boulevard,Regina,QC,(705)796-3039,The House Decade: An Anthology,VC529.Y1981 1958,A1725-3304945
4,facebook,#bigoil,Another Saturday. Another new heat wave,ulmanm@hotmail.com,www.picture.org,Ulman Mandel,2024-02-12,977,202,1859 Mt. Wightman Boulevard,Halifax,BC,(519)963-9196,The Truck Day: An Overview,P7412.Z754 1945,J1094-5651713
5,telegram,#badmonkey,Plane in Taiwan. What a bad idea!,wanda.sun@hotmail.com,www.dangeroustree.com/fire/accident.html,Wanda Sūn,2024-11-29,873,73,2899 Fair Street,Regina,NL,(418)626-5594,The Package Year: A Survey,I6802.X720 1924,J1631-6841044
6,twitter,#sadnews,Too close for comfort @the_incredible_elektra,steven.young@aol.com,www.banister.edu/trendyform.html,Steven Young,2024-01-13,54,4,3398 Mt. Shé Way,Saskatoon,AB,(367)444-7919,The Business Century: A Survey,XM1357.Q2222 1953,L1142-3840687
7,facebook,#chickenwar,Too close for comfort @nesta1982,nikoletab@yahoo.com,www.adolfinaseys.com/cowardlypaper.html,Nikoleta Bullen,2023-10-23,927,3726,20 Florman Way,St. Johns,ON,(902)179-6772,The Accident Century: An Overview,BW2220.U153 1944,V1184-4772921
8,twitter,#sanctuary,@terriblesayid Have you seen this?!,seon-ok.jiang@outlook.com,www.brokensuitcase.com/Florida.html,Seon-ok Jiǎng,2024-12-09,55,260,55 St. Heinrich Court,Richmond,NL,(672)898-8395,The Water Century: A Survey,QQ2683.U547 1937,C1548-9546063
9,telegram,#edmonton,Too close for comfort @roswald57,direviveka@outlook.com,www.lim.net,Viveka Champernon,2024-12-31,13,143,958 Fair Dam Way,Halifax,PE,(438)865-5422,The Car Day: A Survey,B3766.F2667 1923,X1338-9998594
10,youtube,#chickenwar,Another Wednesday. Another wealthy document,sibyllh24@aol.com,www.picture.com/inflation/picture.html,Sibyll Her,2024-11-14,54,264,2821 N. Green Ridge Crescent,Regina,SK,(683)956-7915,The Surprise Year: A Compendium,LY995.A2434 1938,S1574-9956086
11,twitter,#badmonkey,Error in Utah. What a brilliant idea!,betrysm91@gmail.com,www.parkinglot.net/theHague.html,Betrys Minavand,2024-02-25,56,3524,293 N. Eynon Lane,Richmond,NU,(579)358-2536,The Form Year: An Overview,IT512.J2484 1981,Q1045-7889380
12,facebook,#sanctuary,Too close for comfort @old_plane,culhwchb23@aol.com,www.gwaednerthwu.com,Culhwch Binnion,2024-06-22,26,180,51 St. Zahirah Lane,Montreal,YT,(249)658-4875,The Fire Decade: An Anthology,W9659.E2414 1973,K1812-7251511
13,facebook,#edmonton,Surprise in Beijing. What a great idea!,lenew10@hotmail.com,www.accident.com,Léne Webb,2023-02-17,78,1096,79 Deichert Crescent,Vancouver,NU,(343)924-5223,The Business Year: An Anthology,YQ2952.S2887 1989,I1870-8198677
14,twitter,#badidea,Too close for comfort @pavot_the_paper,leonardh@margeriehelsing.org,www.cheapmistake.com/outdatedbook.html,Leonard Hisami,2024-01-08,50,907,58 Bellamy Boulevard,St. Johns,QC,(709)786-5429,The Poem Year: An Anthology,G371.G630 2025,L1496-1174797
15,youtube,#chickenwar,Package in Oslo. What a bad idea!,rejectedmae@hotmail.com,www.gracelovell.net,Mae Wallace,2024-02-06,44,3174,33 St. Otto Street,Toronto,QC,(368)799-6626,A History Of Water & Paper,W1398.B1797 2007,S1254-5746809
16,youtube,#badmonkey,Fire in Germany. What a great idea!,rukan.xu@aol.com,www.fire.gov/China.html,Rukan Xú,2023-03-19,452,112,819 Bright Beach Street,Saskatoon,NT,(450)805-3718,The Tree Month: An Anthology,O4675.H1782 1958,X1623-6356644
17,twitter,#chickenwar,@sad_worker Have you seen this?!,the_trendy_amatullah@hotmail.com,www.daphneburgoyne.net,Amatullah Duàn,2023-02-04,46,204,53 Haji Court,Montreal,YT,(437)158-2405,The Poem Century: A Compendium,DK1419.G1582 1914,H1708-4729721
18,telegram,#badmonkey,Too close for comfort @awful_organizer,chun-jam78@yahoo.com,www.plane.net,Chun-ja Morse,2023-12-04,0,150,99 Granville Avenue,St. Johns,ON,(365)853-9849,The Outdated Instructor,LT2786.G1015 1965,A1819-2326820
19,facebook,#canada,Another Sunday. Another wealthy book,minsheng.joslin@gmail.com,www.kypriosson.com,Minsheng Joslin,2023-05-18,4,542,1600 Vipond Boulevard,St. Johns,NT,(581)272-1405,The Truck Decade: An Overview,VY465.D1672 1976,D1478-5641087
20,twitter,#bigoil,Too close for comfort @trendymanager,ya.chen@churmond.edu,www.suitcase.net,Ya Chén,2023-11-27,51,123,883 Good Shore Crescent,Surrey,AB,(354)568-2988,The Fire Century: An Anthology,E5786.X1939 1999,S1230-6416799
